SKU,Name,Category,MSRP,Dealer Price
XA30220573+01TR,22X10.5 DELISH 5X127 H 5.79 01 78.1,Wheels,1375.0,1031.25
XA30220573+01TL,22X10.5 DELISH 5X127 H 5.79 01 78.1,Wheels,1375.0,1031.25
U524220577+01TR,22X10.5 DESPERADO 6 6X139.7 5.79 1 78.10,Wheels,1375.0,1031.25
U524220577+01TL,22X10.5 DESPERADO 6 6X139.7 5.79 1 78.10,Wheels,1375.0,1031.25
U834220573+01TL,22X10.5 STRYKER 5X5 5.79 01 78.10,Wheels,1375.0,1031.25
U834220573+01TR,22X10.5 STRYKER 5X5 5.79 01 78.10,Wheels,1375.0,1031.25
U5872285B4+07T,22X8.5 BASTILLE 5X139.7 H 5.03 07 77.80,Wheels,1375.0,1031.25
U313228561+07TL,22X8.5 CHEYENNE 5 5X4.75 5.03 07 70.30,Wheels,1375.0,1031.25
U313228561+07TR,22X8.5 CHEYENNE 5 5X4.75 5.03 07 70.30,Wheels,1375.0,1031.25
XA30228573+07TL,22X8.5 DELISH 5X127 H 5.03 07 78.1,Wheels,1375.0,1031.25
